Name	CMC	Type	Color	Tags	Rarity	Override Name	Image URL	
Aerial Assurance	1	Instant	F		common	Aerial Assurance		
Journey Through the Self	3	Sorcery	F		common	Journey Through the Self		
Prismatic Weasel	2	Creature — Weasel 			common	Prismatic Weasel		
Lasting Discovery	4	Sorcery			common	Lasting Discovery		
Roduth’s Guard	8	Creature — Wurm Dragon Elk Soldier 			common	Roduth’s Guard		
Mural of Harmony	3	Artifact			common	Mural of Harmony		
Evolving Wilds	0	Land			basic land	Evolving Wilds		
Safeguarded Pair	2	Creature — Wurm Human Warrior 	W		uncommon	Safeguarded Pair		
Julius, Skyknight of Morriare	2	Legendary Creature — Mouse Bird Knight 	W		uncommon	Julius, Skyknight of Morriare		
Meirel Pathwalker	3	Creature — Rabbit 	W		uncommon	Meirel Pathwalker		
Winding Guide	4	Creature — Wurm Dragon 	W		uncommon	Winding Guide		
Coiling Jailer	6	Creature — Wurm Cleric 	WF		uncommon	Coiling Jailer		
Mentor of Engagement	6	Creature — Wurm Advisor 	W		uncommon	Mentor of Engagement		
Fritter Skitter	6	Creature — Insect Demon 	R		uncommon	Fritter Skitter		
Mordel Civil War	3	Battle — Seige	R		uncommon	Mordel Civil War		
Iconic Challenger	2	Enchantment Creature — Icon Warrior 	F		uncommon	Iconic Challenger		
Soaring Chorus	2	Enchamtment Creature — Icon Wizard 	F		uncommon	Soaring Chorus		
Korna’s Forward	3	Creature — Wurm Scout 	F		uncommon	Korna’s Forward		
Multaph’s Voidweaver	5	Creature — Human Wizard 	F		uncommon	Multaph’s Voidweaver		
Meirel Evacuator	3	Creature — Hyena Scout 	F		uncommon	Meirel Evacuator		
Embrace Fascination	4	Sorcery	F		uncommon	Embrace Fascination		
Ignelscor Weaver	3	Creature — Human Elf Wizard 	BR		uncommon	Ignelscor Weaver		
Pathward Riftcalling	3	Enchantment	WB		uncommon	Pathward Riftcalling		
Duraval Starmapper	4	Creature — Human Wizard 	UR		uncommon	Duraval Starmapper		
Iridescent Plains	0	Land — Plains 			rare	Iridescent Plains		
Iridescent Island	0	Land — Island 			rare	Iridescent Island		
Sonnet, Meirel Lancer	2	Legendary Creature — Fox Warrior 	W		rare	Sonnet, Meirel Lancer		
Resurrection Pools	3	Enchantment — Realm 	W		rare	Resurrection Pools		
Soul Shatter	3	Instant	B		rare	Soul Shatter		
Called to Eternity	2	Enchantment	F		rare	Called to Eternity		
Outlands Chimera	5	Creature — Chimera 	F		rare	Outlands Chimera		
Melodia, Explorer at Heart	5	Legendary Enchantment Creature — Human Wizard 	F		rare	Melodia, Explorer at Heart		
Heng Hien, Reifer of Justice	3	Legendary Planeswalker — Heng 	WU		rare	Heng Hien, Reifer of Justice		
Korna, Adventuring Historian	5	Legendary Enchantment — Wurm Entity 	WR		rare	Korna, Adventuring Historian		
Marie, Hungerbound	3	Legendary Planeswalker — Marie 			rare	Marie, Hungerbound		
The Planar Portal	6	Artifact			rare	The Planar Portal		
The Shattering of Meirel	6	Sorcery			rare	The Shattering of Meirel		
My Hunger Will Kill You	4	Legendary Enchantment			rare	My Hunger Will Kill You		
Soul of Vinimroth	3	Legendary Enchantment Creature — Avatar 			rare	Soul of Vinimroth		
Moonglow Enclave	0	Land			uncommon	Moonglow Enclave		
Mistlake Enclave	0	Land			uncommon	Mistlake Enclave		
Glowspore Enclave	0	Land			uncommon	Glowspore Enclave		
Bloomrock Enclave	0	Land			uncommon	Bloomrock Enclave		
Brightblossom Enclave	0	Land			uncommon	Brightblossom Enclave		
Tranquil Stream	0	Land — Plains Island 			basic land	Tranquil Stream		
Sodden Cavern	0	Land — Island Swamp 			basic land	Sodden Cavern		
Fiery Chasm	0	Land — Swamp Mountain 			basic land	Fiery Chasm		
Highland Vale	0	Land — Mountain Forest 			basic land	Highland Vale		
Alpine Meadow	0	Land — Forest Plains 			basic land	Alpine Meadow		
Desolate Barrens	0	Land — Plains Swamp 			basic land	Desolate Barrens		
Roaring Cascade	0	Land — Island Mountain 			basic land	Roaring Cascade		
Somber Marsh	0	Land — Swamp Forest 			basic land	Somber Marsh		
Jagged Crag	0	Land — Mountain Plains 			basic land	Jagged Crag		
Rainforest Spring	0	Land — Forest Island 			basic land	Rainforest Spring		
Crackling Expanse	0	Land — Fault Plains 			basic land	Crackling Expanse		
Drifting River	0	Land — Fault Island 			basic land	Drifting River		
Barren Fissure	0	Land — Fault Swamp 			basic land	Barren Fissure		
Tectonic Rime	0	Land — Fault Mountain 			basic land	Tectonic Rime		
Meirel Explorer	1	Creature — Fox Scout 	F		common	Meirel Explorer		
Gold-Streaked Obelisks	6	Enchantment — Realm 	G		common	Gold-Streaked Obelisks		
Meirel Traveller	2	Creature — Wolf Nomad 	G		common	Meirel Traveller		
Shard Bearer	2	Enchantment Creature — Icon Elk 	G		common	Shard Bearer		
Clanless Weaver	3	Creature — Human Wizard 	G		common	Clanless Weaver		
Disciple of the Thicket	3	Creature — Human Elf Wizard 	G		common	Disciple of the Thicket		
Defector of Mordel	2	Creature — Minotaur Wizard 	G		common	Defector of Mordel		
Voice of the Thicket	4	Enchantment Creature — Icon Elk 	G		common	Voice of the Thicket		
Illusion Reamer	4	Creature — Wurm Wizard 	G		common	Illusion Reamer		
Outland Pair	5	Enchantment Creature — Human Icon Scout 	G		common	Outland Pair		
Outlands Rescuer	6	Creature — Wurm Cleric 	G		common	Outlands Rescuer		
Awakened Reactionary	8	Enchantment Creature — Icon Dryad 	G		common	Awakened Reactionary		
Open Eternity	1	Instant	G		common	Open Eternity		
Stand Your Ground	2	Sorcery	G		common	Stand Your Ground		
Meditation	3	Instant	F		uncommon	Meditation		
The Strength to Overcome	2	Instant	G		common	The Strength to Overcome		
Scale the Heights	3	Sorcery	G		common	Scale the Heights		
Natural Awakening	4	Enchantment — Aura 	G		common	Natural Awakening		
Disciplined Seeker	1	Creature — Human Elf Warrior 	F		uncommon	Disciplined Seeker		
Kaln-Ocean Streamliner	2	Creature — Merfolk Rogue 	F		rare	Kaln-Ocean Streamliner		
Chirps, Spice Seeker	4	Legendary Enchantment Creature — Bird 	F		rare	Chirps, Spice Seeker		
Extra Rulings for Silver	1	Reminder	F		special	Extra Rulings for Silver		
Blade Reifer	6	Creature — Cat Wizard 	F		uncommon	Blade Reifer		
Unweave	4	Instant	F		uncommon	Unweave		
Discover Uncertainty	2	Instant	F		uncommon	Discover Uncertainty		
It’s Morbin Time	1	Instant	F		masterpiece	It’s Morbin Time		
Iridescent Swamp	0	Land — Swamp 			rare	Iridescent Swamp		
Iridescent Mountain	0	Land — Mountain 			rare	Iridescent Mountain		
Iridescent Forest	0	Land — Forest 			rare	Iridescent Forest		
Iridescent Fault	0	Land — Fault 			rare	Iridescent Fault		
Vineglare Enclave	0	Land			uncommon	Vineglare Enclave		
Mana Compression	5	Sorcery	F		common	Mana Compression		
Pathworn Blade	1	Artifact — Equipment 	F		common	Pathworn Blade		
Trace the Stars	4	Sorcery	F		uncommon	Trace the Stars		
Dance of Discovery	2	Instant	R		common	Dance of Discovery		
EXPLOOOOOSION	6	Sorcery	F		masterpiece	EXPLOOOOOSION		
TK02 Bird Token	0	Token Creature — Bird 			common	TK02 Bird Token		
Wurm Token	0	Token Creature — Wurm 			common	Wurm Token		
Smelt Corruption	5	Sorcery	R		common	Smelt Corruption		
Basalt Hammer	1	Artifact — Equipment 	R		common	Basalt Hammer		
Mordel Hammer	5	Creature — Minotaur Soldier 	R		common	Mordel Hammer		
Emigrating Pilgrim	4	Enchantment Creature — Icon Knight 	F		common	Emigrating Pilgrim		
Crystalline Cover	1	Artifact — Equipment 	U		common	Crystalline Cover		
TK07 Drake Token	0	Token Creature — Drake 			common	TK07 Drake Token		
TK06 Mongoose Token	0	Token Creature — Mongoose 			common	TK06 Mongoose Token		
TK05 Fish Token	0	Token Creature — Fish 			common	TK05 Fish Token		
TK03 Lizard Token	0	Token Creature — Lizard 			common	TK03 Lizard Token		
TK01 Fox Token	0	Token Creature — Fox 			common	TK01 Fox Token		
History’s Weave	1	Artifact — Equipment 	W		common	History’s Weave		
Fadove Battle-Cleric	3	Creature — Human Cleric Soldier 	W		uncommon	Fadove Battle-Cleric		
Fall through Reality	2	Sorcery	W		masterpiece	Fall through Reality		
Fall through Reality	2	Sorcery	W		masterpiece	Fall through Reality		
Otherworldly Entrance	5	Sorcery	B		common	Otherworldly Entrance		
Turbulent Aether	3	Instant	G		common	Turbulent Aether		
Snow Worn Peaks	1	Enchantment — Realm 			common	Snow Worn Peaks		
Stir the Aether	2	Instant	W		uncommon	Stir the Aether		
Sonnet, Meirel Lancer	2	Legendary Creature — Fox Warrior 	W		masterpiece	Sonnet, Meirel Lancer		
Your Strength is Fading	4	Enchantment	B		common	Your Strength is Fading		
Aspect of Moth	1	Artifact — Equipment 	B		common	Aspect of Moth		
Pathfinder Wurm	1	Creature — Wurm Dragon 	W		common	Pathfinder Wurm		
Warforged Pair	3	Creature — Human Warrior 	R		common	Warforged Pair		
Splintered Thicket	0	Land — Fault Forest 			basic land	Splintered Thicket		
I Will Walk My Own Path	7	Enchantment	F		rare	I Will Walk My Own Path		
Pathshaping	2	Sorcery	F		rare	Pathshaping		
Outlands Recruiter	1	Enchantment Creature — Icon Soldier 	W		uncommon	Outlands Recruiter		
Reichen, Verdant Guardian	7	Legendary Creature — Dragon 	G		mythic rare	Reichen, Verdant Guardian		
Aubrey	0	Legendary Token Creature — Drake 			common	Aubrey		
Bosket Path	2	Enchantment — Realm 	R		masterpiece	Bosket Path		
Tiderock Passage	3	Enchantment — Realm 	U		masterpiece	Tiderock Passage		
Gold-Streaked Obelisks	6	Enchantment — Realm 	G		masterpiece	Gold-Streaked Obelisks		
Enlightening Crescents	5	Enchantment — Realm 	F		masterpiece	Enlightening Crescents		
Staggering Spires	2	Enchantment — Realm 	W		masterpiece	Staggering Spires		
Eroding River	2	Enchantment — Realm 	B		masterpiece	Eroding River		
Resurrection Pools	3	Enchantment — Realm 	W		masterpiece	Resurrection Pools		
Snow Worn Peaks	1	Enchantment — Realm 			masterpiece	Snow Worn Peaks		
Elemental Demon Token	0	Token Creature — Elemental Demon 			common	Elemental Demon Token		
Kera, Mordel’s New Hope	0	Legendary Creature — Human Warrior 			uncommon	Kera, Mordel’s New Hope		
Shark Token	0	Token Enchantment Creature — Shark 			common	Shark Token		
Whale Token	0	Token Enchantment Creature — Whale 			common	Whale Token		
Sunswept Prairie	0	Land			basic land	Sunswept Prairie		
Foruden Shrine	0	Land			mythic rare	Foruden Shrine		
Surubim Harpoon	1	Artifact — Equipment 	G		common	Surubim Harpoon		
A World Without You	4	Instant	U		common	A World Without You		
When Words Don’t Work	2	Instant	F		common	When Words Don’t Work		
Soaring Tethers	0	Land			basic land	Soaring Tethers		
Thyrsine Way	0	Land			basic land	Thyrsine Way		
Windy Weft	0	Land			basic land	Windy Weft		
Vibrant Knoll	0	Land			basic land	Vibrant Knoll		
Cascading Cleave	0	Land			basic land	Cascading Cleave		
Lisse, Bound by the King	2	Legendary Creature — Zombie Cleric Wizard 	B		uncommon	Lisse, Bound by the King		
Lorenz, Heired King of Alira	4	Legendary Creature — Human Noble 	U		uncommon	Lorenz, Heired King of Alira		
Shrouded Pathcensor	3	Creature — Bird Wizard 	F		rare	Shrouded Pathcensor		
Frontiers of Eternity	0				special	Frontiers of Eternity		
#Constructed Plant	4	Enchantment	F		rare	#Constructed Plant		
Coalesced Company	4	Enchantment Creature — Icon Wurm 	W		uncommon	Coalesced Company		
Outland Riftsower	3	Creature — Hyena Cleric 	W		uncommon	Outland Riftsower		
Lisse’s Drakesteel Phylactory	4	Legendary Artifact			uncommon	Lisse’s Drakesteel Phylactory		
Heng’s Intercession	5	Enchantment	W		uncommon	Heng’s Intercession		
Zoslera, Exiled Visionary	4	Legendary Planeswalker — Zoslera 	RG		rare	Zoslera, Exiled Visionary		
Toll of Exploration	2	Instant	R		uncommon	Toll of Exploration		
Whisperer of the Paths	2	Creature — Human Druid 	WG		uncommon	Whisperer of the Paths		
Ignelscor Frontliner	5	Creature — Human Elf Warrior 	RG		uncommon	Ignelscor Frontliner		
Those Lost in the Paths	4	Enchantment Creature — Icon Warlock 	UB		uncommon	Those Lost in the Paths		
Renewer of Bloodlines	3	Creature — Human Elf 	UG		uncommon	Renewer of Bloodlines		
Sisters in 😔	2	Creature — Wurm Human Soldier 	WR		masterpiece	Sisters in 😔		
Chimarel Clearing	5	Enchantment — Realm 	W		uncommon	Chimarel Clearing		
#TK04 Lizard Token	0	Token Creature — Lizard 			special	#TK04 Lizard Token		
Wormfang Salamander	2	Creature — Salamander 	U		uncommon	Wormfang Salamander		
Quixotia Dreamscape	0	Land			mythic rare	Quixotia Dreamscape		
Alira Glade	0	Land			mythic rare	Alira Glade		
Mangreil Precipice	0	Land			mythic rare	Mangreil Precipice		
Mirros Cleave	0	Land			mythic rare	Mirros Cleave		
Asahr Sahel	0	Land			mythic rare	Asahr Sahel		
Themia, Steward of Sanctity	3	Legendary Creature — Angel 	W		mythic rare	Themia, Steward of Sanctity		
Zesha, Dream Hedonist	3	Legendary Creature — Nightmare 	U		mythic rare	Zesha, Dream Hedonist		
Argent, Flash of Mirros	6	Legendary Creature — Drake 	F		mythic rare	Argent, Flash of Mirros		
Clawf, Maw of the Moon	8	Legendary Creature — Dog 	R		mythic rare	Clawf, Maw of the Moon		
Lisse, Hope Through Sin	5	Legendary Creature — Demon Cleric 	B		mythic rare	Lisse, Hope Through Sin		
Dominator of Drakes	3	Creature — Human Noble 	UF		uncommon	Dominator of Drakes		
Promise of Hunger	2	Enchantment	GF		uncommon	Promise of Hunger		
Dragon Eye Token	0	Token Creature — Dragon Eye 			common	Dragon Eye Token		
Remnants of the War	4	Battle — Siege	BG		uncommon	Remnants of the War		
Latent Powerstone	2	Artifact	WU		uncommon	Latent Powerstone		
Cydina Storm Drake	8	Creature — Drake 	RF		uncommon	Cydina Storm Drake		
Calamitous Koi	4	Creature — Fish Spirit 	BF		uncommon	Calamitous Koi		
Guardian of the Cinders	0	Enchantment Creature — Icon Warlock 			uncommon	Guardian of the Cinders		
+1/+1 Counter	6		WUBRGF		common	+1/+1 Counter		
Stun Counter	2		UF		common	Stun Counter		
Flying Counter	2		UF		common	Flying Counter		
Vigilance Counter	0				common	Vigilance Counter		
Lifelink Counter	2		BF		common	Lifelink Counter		
Sisters in Sorrow	2	Creature — Wurm Human Soldier 	WR		uncommon	Sisters in Sorrow		
Everyone, at the Wrong Time	2	Creature — Bird Wizard 	B		masterpiece	Everyone, at the Wrong Time		
Cat Token	0	Token Creature — Cat 			common	Cat Token		
